"","SPOKE","HUB","2016","2017","2018","2019","2020","2021","Mean","Median","sd"
"69","HKG","DEU",0,0,0,0,0,0,0,0,0
"70","TWN","DEU",0,0,0,0,0,0,0,0,0
"71","CZE","DEU",1,1,1,1,1,1,1,1,0
"72","FRA","DEU",0.2892,0.2687,0.2609,0.2528,0.2621,0.256,0.26495,0.2615,0.0130719164624014
"73","HUN","DEU",1,1,1,1,1,1,1,1,0
"74","IND","DEU",0,0,0,0,0,0,0,0,0
"75","IDN","DEU",0,0,0,0,0,0,0,0,0
"76","IRL","DEU",0,0,0,0,0,0,0,0,0
"77","ITA","DEU",0.2688,0.267,0.2649,0.254,0.264,0.274,0.26545,0.26595,0.00663679139343705
"78","JPN","DEU",0,0,0,0,0,0,0,0,0
"79","KOR","DEU",0,0,0,0,0,0,0,0,0
"80","MYS","DEU",0,0,0,0,0,0,0,0,0
"81","MEX","DEU",0,0,0,0,0,0,0,0,0
"82","NLD","DEU",0.3718,0.3752,0.3745,0.3699,0.3671,0.373,0.371916666666667,0.3724,0.00303012651001021
"83","POL","DEU",1,1,1,1,1,1,1,1,0
"84","RUS","DEU",0.2578,0.2469,0.2558,0.2155,0.2011,0.2114,0.231416666666667,0.2312,0.024913724463971
"85","SAU","DEU",0,0,0,0,0,0,0,0,0
"86","SGP","DEU",0,0,0,0,0,0,0,0,0
"87","ESP","DEU",0.2694,0.2711,0.2656,0.2636,0.2723,0.2535,0.265916666666667,0.2675,0.00691936895003198
"88","CHE","DEU",0.31,0.3672,0.3669,0.3383,0.3132,0.3343,0.338316666666667,0.3363,0.0249000736277359
"89","THA","DEU",0,0,0,0,0,0,0,0,0
"90","ARE","DEU",0,0,0,0,0,0,0,0,0
"91","GBR","DEU",0.2008,0.2024,0.1816,0.1816,0.1972,0.1612,0.187466666666667,0.1894,0.0158385184492321
"92","USA","DEU",0.0438,0.0443,0.044,0.0467,0.0506,0.0469,0.04605,0.0455,0.00261438329248027
"93","VNM","DEU",0,0,0,0,0,0,0,0,0
