"","From","To","Mean","UCI","p.value"
"842","BRA","CHN",0.131319356919202,0.147876962911651,0.976
"843","BRA","SPM",7.54530280610662e-08,2.25254299108253e-07,0.092
"844","BRA","USA",0.0595702594932133,0.0644579045458808,0.966
"845","VGB","AZE",2.11586009128657e-09,5.18567626296543e-09,0.076
"846","VGB","BHR",7.8476774395263e-10,1.56953548790526e-09,0.079
"847","VGB","BLR",6.9487645347855e-10,2.08462936043565e-09,0.349
"848","VGB","BIH",1.59404369947472e-09,3.48571203268282e-09,0.079
"849","VGB","BWA",4.45396537509471e-08,1.33618961252841e-07,0.316
"850","VGB","BRN",3.87301336964757e-10,1.16190401089427e-09,0.331
"851","VGB","BGR",8.1944102554521e-10,1.68372040270611e-09,0.085
"852","VGB","KHM",4.68609987129293e-09,1.14654614823961e-08,0.094
"853","VGB","CMR",3.47438226739275e-10,1.04231468021782e-09,0.316
"854","VGB","MAC",3.47438226739275e-10,1.04231468021782e-09,0.324
"855","VGB","COM",1.59404369947472e-09,3.48571203268282e-09,0.093
"856","VGB","COD",4.32139688580452e-10,1.29641906574136e-09,0.344
"857","VGB","EGY",8.66362688877896e-10,2.59908806663369e-09,0.341
"858","VGB","SWZ",3.87301336964757e-10,1.16190401089427e-09,0.33
"859","VGB","HUN",1.08372037693504e-09,2.38479844192723e-09,0.096
"860","VGB","ISL",2.88787562959299e-10,8.66362688877896e-10,0.323
"861","VGB","ISR",1.55628819543284e-07,3.11257639086568e-07,0.085
"862","VGB","KAZ",4.34999140984372e-09,1.04571360980485e-08,0.086
"863","VGB","KOR",4.32139688580452e-09,1.29641906574136e-08,0.345
"864","VGB","LVA",1.55937041788214e-09,3.48571203268282e-09,0.094
"865","VGB","LTU",4.32139688580452e-10,1.29641906574136e-09,0.343
"866","VGB","MDG",7.94932813975744e-10,2.38479844192723e-09,0.328
"867","VGB","MWI",4.36937144186569e-09,8.73874288373138e-09,0.092
"868","VGB","MUS",7.74602673929515e-10,2.32380802178854e-09,0.314
"869","VGB","MNE",4.32139688580452e-10,1.29641906574136e-09,0.351
"870","VGB","MAR",4.32139688580452e-10,1.29641906574136e-09,0.329
"871","VGB","MMR",3.44584892245733e-09,9.29523208715418e-09,0.092
"872","VGB","NIC",2.43206758717492e-09,7.29620276152477e-09,0.313
"873","VGB","NOR",3.47438226739275e-10,1.04231468021782e-09,0.324
"874","VGB","PRT",7.2421436196681e-07,1.44842872393362e-06,0.077
"875","VGB","ROU",7.34898997677428e-09,1.56875074185169e-08,0.068
"876","VGB","KNA",2.80078606198469e-09,5.80952005447136e-09,0.093
"877","VGB","SRB",3.96269007287896e-09,9.29523208715418e-09,0.074
"878","VGB","SLE",1.70412588264493e-08,5.1123776479348e-08,0.334
"879","VGB","ARE",5.38235560728112e-09,1.51047521416255e-08,0.084
"880","VGB","UZB",1.89971788892155e-09,3.79943577784309e-09,0.089
"881","BRN","ALB",7.36523383297201e-10,2.2095701498916e-09,0.31
"882","BRN","BGR",2.12965472265939e-08,5.31580486911091e-08,0.075
"883","BRN","MAC",6.97142406536563e-09,2.09142721960969e-08,0.351
"884","BRN","DOM",1.8966435745983e-09,4.64761604357709e-09,0.085
"885","BRN","FJI",4.28451633084878e-09,9.53919376770893e-09,0.087
"886","BRN","FIN",2.33397309181166e-09,5.80952005447136e-09,0.091
"887","BRN","ISL",3.57538873591421e-09,8.13332807625991e-09,0.089
"888","BRN","IRN",5.12640301074988e-09,1.07315929886725e-08,0.094
"889","BRN","IRQ",4.32139688580452e-10,1.29641906574136e-09,0.329
"890","BRN","IRL",1.08034922145113e-08,3.24104766435339e-08,0.295
"891","BRN","LBN",1.91091024706601e-08,5.73273074119804e-08,0.363
"892","BRN","LBY",5.71846406873033e-09,1.25077761626139e-08,0.078
"893","BRN","MUS",5.96199610481808e-09,1.78859883144542e-08,0.305
"894","BRN","MNG",3.47438226739275e-10,1.04231468021782e-09,0.313
"895","BRN","MOZ",7.22743792226152e-06,2.16747783853617e-05,0.083
"896","BRN","NLD",2.03509870100475e-07,4.97824921244681e-07,0.084
"897","BRN","PAN",9.50707314876995e-09,2.85212194463098e-08,0.348
"898","BRN","PER",8.64279377160904e-10,2.59283813148271e-09,0.344
"899","BRN","RUS",3.83545117528524e-08,8.13566395492818e-08,0.081
"900","BRN","SDN",1.15210077326465e-08,2.3042015465293e-08,0.087
"901","BRN","SYR",3.57970492560149e-08,8.13332807625991e-08,0.094
"902","BGR","ASM",1.06339023688881e-09,2.32380802178854e-09,0.09
"903","BGR","BES",3.45348229312594e-08,6.90696458625187e-08,0.09
"904","BGR","GRD",7.74602673929515e-10,2.32380802178854e-09,0.321
"905","BGR","GUM",2.259935326783e-09,4.51987065356599e-09,0.077
"906","BGR","NRU",1.5778225988826e-08,3.15564519776521e-08,0.083
"907","BGR","NIU",6.9487645347855e-10,1.3897529069571e-09,0.34
"908","BGR","WSM",1.14161124411066e-08,3.42483373233199e-08,0.352
"909","BGR","TCA",6.26044875802621e-08,1.87813462740786e-07,0.355
"910","BFA","AND",3.31793200645645e-09,6.63586401291289e-09,0.085
"911","BFA","ARM",3.47438226739275e-10,1.04231468021782e-09,0.31
"912","BFA","ABW",7.53735539323769e-08,2.26120661797131e-07,0.345
"913","BFA","AZE",4.18895369458518e-09,8.37790738917035e-09,0.084
"914","BFA","BWA",5.77575125918597e-10,1.73272537775579e-09,0.308
"915","BFA","KHM",1.2321458616624e-08,3.69643758498721e-08,0.359
"916","BFA","CYM",2.08462936043565e-09,6.25388808130695e-09,0.368
"917","BFA","MAC",5.19817613326737e-09,1.55945283998021e-08,0.324
"918","BFA","COM",1.58352527408898e-08,3.24622681188234e-08,0.32
"919","BFA","CRI",7.15699918387876e-10,1.43139983677575e-09,0.088
"920","BFA","HRV",1.08396161003648e-09,2.2095701498916e-09,0.092
"921","BFA","CUB",6.35332638510457e-09,1.90599791553137e-08,0.335
"922","BFA","CYP",5.24655657223991e-08,1.57396697167197e-07,0.312
"923","BFA","DJI",3.72742281108422e-08,1.08508329107689e-07,0.085
"924","BFA","EST",1.50169532738835e-08,4.50508598216506e-08,0.359
"925","BFA","SWZ",2.27611959789866e-09,5.96199610481808e-09,0.092
"926","BFA","PYF",1.2325410688095e-09,2.59283813148271e-09,0.101
"927","BFA","IRN",9.50707314876995e-09,2.85212194463098e-08,0.347
"928","BFA","PRK",5.28668740794151e-07,1.0573374815883e-06,0.093
"929","BFA","KGZ",5.48696369622667e-09,1.646089108868e-08,0.312
"930","BFA","LAO",1.85002670531574e-09,3.70005341063149e-09,0.083
"931","BFA","MNE",1.0253109462565e-09,2.2095701498916e-09,0.08
"932","BFA","NAM",8.1392999286496e-08,2.40864642634651e-07,0.096
"933","BFA","NIC",2.11748447404422e-08,6.35245342213265e-08,0.337
"934","BFA","OMN",5.19817613326737e-09,1.55945283998021e-08,0.325
"935","BFA","PRY",8.25530891653728e-09,1.77945026842462e-08,0.104
"936","BFA","SHN",7.74602673929515e-10,2.32380802178854e-09,0.304
"937","BFA","SYC",1.16190401089427e-09,3.48571203268282e-09,0.315
"938","BFA","SOM",2.39693677256218e-08,7.19081031768653e-08,0.336
"939","BFA","LKA",3.02497782006316e-09,9.07493346018949e-09,0.333
"940","BFA","SUR",3.92253745265982e-07,1.11489327160098e-06,0.081
"941","BFA","TON",7.53153159272334e-09,1.58376658593762e-08,0.088
"942","BFA","TTO",2.38479844192723e-09,7.1543953257817e-09,0.354
"943","BFA","TCA",2.10059227139128e-08,5.52392537472901e-08,0.085
"944","BFA","UZB",2.88787562959299e-10,8.66362688877896e-10,0.34
"945","BDI","ALB",1.4730467665944e-09,4.41914029978321e-09,0.324
"946","BDI","AND",3.28681681838038e-08,7.95445253960978e-08,0.069
"947","BDI","BGD",1.46080479498942e-08,4.27818291694648e-08,0.074
"948","BDI","BRB",7.34739563704032e-10,1.46947912740806e-09,0.086
"949","BDI","VGB",3.12694404065347e-09,9.38083212196042e-09,0.328
"950","BDI","BRN",3.75730638182157e-09,9.53919376770893e-09,0.087
"951","BDI","CMR",3.86281062967817e-08,9.64380329042246e-08,0.099
"952","BDI","CAF",1.87865319091079e-09,4.76959688385447e-09,0.076
"953","BDI","TCD",1.29641906574136e-09,3.88925719722407e-09,0.329
"954","BDI","CRI",2.50316142825132e-09,5.18567626296543e-09,0.08
"955","BDI","HRV",7.34739563704032e-10,1.46947912740806e-09,0.085
"956","BDI","DJI",1.87865319091079e-09,4.76959688385447e-09,0.097
"957","BDI","DOM",2.11586009128657e-09,5.18567626296543e-09,0.094
"958","BDI","GUY",4.40962234157339e-08,1.07164152269743e-07,0.088
"959","BDI","HTI",9.702373210576e-09,1.9404746421152e-08,0.087
"960","BDI","HUN",7.34739563704032e-10,1.46947912740806e-09,0.092
"961","BDI","ISL",1.54920534785903e-09,4.64761604357709e-09,0.342
"962","BDI","JAM",1.73719113369637e-09,5.21157340108912e-09,0.344
"963","BDI","PRK",2.54962416262467e-08,7.648872487874e-08,0.317
"964","BDI","KGZ",3.87301336964757e-10,1.16190401089427e-09,0.377
"965","BDI","LBR",1.48118678392292e-09,3.57719766289085e-09,0.093
"966","BDI","MLT",3.82182049413202e-09,1.14654614823961e-08,0.328
"967","BDI","MNE",1.04231468021782e-09,3.12694404065347e-09,0.365
"968","BDI","MDK",8.29606095568324e-10,1.65921219113665e-09,0.095
"969","BDI","PHL",3.68261691648601e-10,1.1047850749458e-09,0.336
"970","BDI","PRT",3.68261691648601e-10,1.1047850749458e-09,0.342
"971","BDI","QAT",2.06183193492675e-07,4.1236638698535e-07,0.089
"972","BDI","LCA",1.08372037693504e-09,2.38479844192723e-09,0.108
"973","BDI","SEN",8.99023199834832e-09,2.59283813148271e-08,0.098
"974","BDI","SOM",6.25973638663527e-07,1.54177219270596e-06,0.094
"975","BDI","LKA",3.5236686591074e-09,8.83828059956642e-09,0.082
"976","BDI","PSE",1.85904641743084e-08,5.57713925229251e-08,0.33
"977","CPV","ARG",5.80915252907138e-09,1.16183050581428e-08,0.097
"978","CPV","ARM",3.47438226739275e-10,1.04231468021782e-09,0.362
"979","CPV","AZE",2.7795058139142e-09,8.3385174417426e-09,0.357
"980","CPV","BLR",1.12204090066879e-09,2.33719362210295e-09,0.09
"981","CPV","BEN",7.28574897009901e-08,2.17276050037229e-07,0.09
"982","CPV","BGR",5.78544547114328e-08,1.27162390986575e-07,0.088
"983","CPV","BDI",3.6108685426879e-08,1.07164152269743e-07,0.079
"984","CPV","CMR",2.24634775439559e-08,6.73904326318678e-08,0.338
"985","CPV","TWN",1.21097213936026e-07,2.42859320490753e-07,0.084
"986","CPV","COM",3.87301336964757e-10,1.16190401089427e-09,0.346
"987","CPV","COD",1.66935890934906e-08,5.00807672804719e-08,0.328
"988","CPV","HRV",9.14172736072106e-09,2.74251820821632e-08,0.346
"989","CPV","CYP",1.00299716508582e-08,2.90476002723568e-08,0.094
"990","CPV","CZE",4.48578261505258e-08,1.3353116377136e-07,0.086
"991","CPV","EGY",6.35946251180596e-09,1.90783875354179e-08,0.336
"992","CPV","FIN",3.47438226739275e-10,1.04231468021782e-09,0.312
"993","CPV","GIN",4.32139688580452e-09,1.29641906574136e-08,0.313
"994","CPV","GUY",4.98508176225918e-08,1.40013259100066e-07,0.105
"995","CPV","HND",3.97466406987872e-10,1.19239922096362e-09,0.325
"996","CPV","ISL",3.68261691648601e-10,1.1047850749458e-09,0.33
"997","CPV","ISR",4.32139688580452e-10,1.29641906574136e-09,0.357
"998","CPV","KAZ",2.13465754068425e-09,5.21157340108912e-09,0.09
"999","CPV","MDG",1.3897529069571e-09,4.1692587208713e-09,0.339
"1000","CPV","MWI",7.8476774395263e-10,1.56953548790526e-09,0.097
"1001","CPV","MYS",1.84252621571852e-08,3.68505243143704e-08,0.087
"1002","CPV","MLI",3.45295492276963e-08,1.02546333002871e-07,0.093
"1003","CPV","MRT",1.127016142059e-09,2.5167690490161e-09,0.088
"1004","CPV","MUS",8.55005904594072e-08,2.5520535231248e-07,0.093
"1005","CPV","MNE",4.32139688580452e-10,1.29641906574136e-09,0.347
"1006","CPV","MMR",7.50948428475397e-09,1.55570287888963e-08,0.099
"1007","CPV","OMN",5.4449600761137e-08,1.63348802283411e-07,0.321
"1008","CPV","PHL",1.3897529069571e-09,4.1692587208713e-09,0.339
"1009","CPV","QAT",3.97466406987872e-09,1.19239922096362e-08,0.328
"1010","CPV","RWA",1.53498046173337e-08,3.06996092346674e-08,0.089
"1011","CPV","KNA",1.29641906574136e-09,3.88925719722407e-09,0.305
"1012","CPV","VCT",3.97466406987872e-10,7.94932813975744e-10,0.344
"1013","CPV","SYC",1.16190401089427e-09,3.48571203268282e-09,0.325
"1014","CPV","SLE",7.90815630102227e-07,2.37244689030668e-06,0.352
"1015","CPV","SVK",1.16319450562435e-09,2.32638901124869e-09,0.096
"1016","CPV","SVN",1.04231468021782e-09,3.12694404065347e-09,0.345
"1017","CPV","LKA",3.68261691648601e-10,1.1047850749458e-09,0.359
"1018","CPV","TZA",7.0321986080568e-08,1.52627100283343e-07,0.084
"1019","CPV","TUN",5.52392537472901e-09,1.6571776124187e-08,0.322
"1020","CPV","UKR",1.36256825909982e-08,4.08770477729947e-08,0.345
"1021","CPV","VNM",6.6228946484394e-08,1.32457892968788e-07,0.098
"1022","KHM","AIA",3.97466406987872e-09,1.19239922096362e-08,0.334
"1023","KHM","ABW",3.09841069571806e-09,9.29523208715418e-09,0.314
"1024","KHM","BTN",7.37905554237662e-09,1.97523681852026e-08,0.092
"1025","KHM","CYM",1.29641906574136e-09,3.88925719722407e-09,0.336
"1026","KHM","COM",2.9097667748186e-08,5.81953354963719e-08,0.102
"1027","KHM","DJI",9.96744901005259e-09,2.29309229647921e-08,0.092
"1028","KHM","GNQ",1.94565406973994e-08,5.83696220921982e-08,0.322
"1029","KHM","GMB",3.97466406987872e-10,1.19239922096362e-09,0.32
"1030","KHM","GNB",1.14654614823961e-08,3.43963844471882e-08,0.35
"1031","KHM","GUY",8.64279377160904e-10,2.59283813148271e-09,0.339
"1032","KHM","KIR",3.87301336964757e-10,1.16190401089427e-09,0.329
"1033","KHM","STP",9.03339389522115e-09,2.71001816856634e-08,0.346
"1034","KHM","SLE",1.03837032223936e-08,2.20761762069912e-08,0.073
"1035","KHM","SLB",2.94027635822199e-09,7.77851439444814e-09,0.091
"1036","KHM","SOM",5.56452969783021e-09,1.66935890934906e-08,0.376
"1037","KHM","TKL",1.36192770911828e-08,2.98099805240904e-08,0.101
"1038","KHM","TON",5.56452969783021e-09,1.11290593956604e-08,0.353
"1039","KHM","TKM",3.68261691648601e-10,1.1047850749458e-09,0.34
"1040","KHM","YEM",7.27899918187943e-09,1.97871120078765e-08,0.075
"1041","CMR","ABW",1.41505905850056e-08,4.24517717550169e-08,0.333
"1042","CMR","BWA",4.32139688580452e-10,8.64279377160904e-10,0.318
"1043","CMR","MAC",5.5590116278284e-09,1.66770348834852e-08,0.339
"1044","CMR","CUB",3.09841069571806e-09,9.29523208715418e-09,0.338
"1045","CMR","DMA",3.6299733840758e-08,1.08899201522274e-07,0.354
"1046","CMR","ECU",1.02533547909805e-08,2.5561888239674e-08,0.096
"1047","CMR","ERI",1.51047521416255e-08,4.53142564248766e-08,0.326
"1048","CMR","FRO",8.23617264853509e-08,1.64723452970702e-07,0.081
"1049","CMR","GMB",6.60132630804622e-09,1.98039789241387e-08,0.34
"1050","CMR","GRL",4.32139688580452e-10,1.29641906574136e-09,0.325
"1051","CMR","GTM",2.7795058139142e-09,8.3385174417426e-09,0.331
"1052","CMR","GUY",1.83724749419357e-09,3.67449498838714e-09,0.096
"1053","CMR","HTI",2.4671095164655e-07,7.40132854939651e-07,0.356
"1054","CMR","JAM",7.77851439444814e-09,2.33355431833444e-08,0.342
"1055","CMR","KGZ",4.32139688580452e-10,1.29641906574136e-09,0.339
"1056","CMR","LVA",3.71152817351894e-08,7.648872487874e-08,0.1
"1057","CMR","LSO",3.47438226739275e-10,6.9487645347855e-10,0.342
"1058","CMR","LBR",5.4222187175066e-09,1.62666561525198e-08,0.313
"1059","CMR","MDV",6.77210851423822e-09,1.51047521416255e-08,0.086
"1060","CMR","MHL",1.11930086382815e-07,3.35790259148445e-07,0.349
"1061","CMR","PNG",6.19682139143612e-09,1.85904641743084e-08,0.321
"1062","CMR","PSE",1.38119290347648e-08,2.78856962614625e-08,0.095
"1063","CMR","TON",1.9711477638237e-09,3.95421664695078e-09,0.073
"1064","CMR","TTO",4.32139688580452e-09,1.29641906574136e-08,0.344
"1065","CMR","TKM",1.72855875432181e-09,5.18567626296543e-09,0.328
"1066","CMR","TCA",6.08016896793731e-08,1.82405069038119e-07,0.323
"1067","CMR","UZB",6.06453882214527e-09,1.81936164664358e-08,0.354
"1068","CMR","VUT",3.13714082941453e-08,9.4114224882436e-08,0.342
"1069","CMR","VEN",2.32380802178854e-09,6.97142406536563e-09,0.325
"1070","CAN","USA",0.716144775109214,0.757545470639464,1
"1071","CYM","SLV",7.74602673929515e-10,2.32380802178854e-09,0.316
"1072","CYM","GIN",4.32139688580452e-10,1.29641906574136e-09,0.349
"1073","CYM","VCT",7.34739563704032e-10,1.46947912740806e-09,0.083
"1074","CYM","SLE",4.32139688580452e-10,1.29641906574136e-09,0.341
"1075","CAF","ALB",3.87301336964757e-10,7.74602673929515e-10,0.332
"1076","CAF","DZA",9.03185375195572e-08,2.46323650309586e-07,0.093
"1077","CAF","ARG",4.20912183109678e-09,1.14654614823961e-08,0.085
"1078","CAF","ARM",1.08217779044331e-09,2.16435558088661e-09,0.089
"1079","CAF","BGD",7.5102213072628e-07,2.2517699731131e-06,0.092
"1080","CAF","BRB",3.87301336964757e-10,1.16190401089427e-09,0.35
"1081","CAF","BFA",7.03346599662668e-09,1.98039789241387e-08,0.079
"1082","CAF","KHM",2.07427050518617e-08,6.22281151555851e-08,0.343
"1083","CAF","TWN",2.2566973056036e-07,4.51339461120719e-07,0.082
"1084","CAF","COD",5.44269482868222e-08,1.08853896573644e-07,0.076
"1085","CAF","HRV",1.22753715556016e-08,2.90476002723568e-08,0.079
"1086","CAF","CZE",8.03779820759641e-08,2.41133946227892e-07,0.339
"1087","CAF","EGY",2.05335992002911e-07,6.16007976008734e-07,0.316
"1088","CAF","SLV",1.42449672963103e-08,4.27349018889308e-08,0.334
"1089","CAF","GNQ",1.91765391737522e-08,4.58618459295843e-08,0.089
"1090","CAF","FJI",8.13332807625991e-09,2.43999842287797e-08,0.369
"1091","CAF","GAB",3.47438226739275e-09,1.04231468021782e-08,0.369
"1092","CAF","GRL",1.04231468021782e-09,3.12694404065347e-09,0.333
"1093","CAF","GTM",3.47438226739275e-10,1.04231468021782e-09,0.315
"1094","CAF","GIN",1.72855875432181e-09,5.18567626296543e-09,0.33
"1095","CAF","HND",1.04231468021782e-09,3.12694404065347e-09,0.334
"1096","CAF","HUN",6.9487645347855e-10,2.08462936043565e-09,0.317
"1097","CAF","ISL",3.46486353538291e-07,1.03713525259309e-06,0.089
"1098","CAF","IRN",1.26814952759835e-07,3.80444858279506e-07,0.314
"1099","CAF","ISR",3.99987858465021e-07,7.99975716930042e-07,0.086
"1100","CAF","PRK",5.79185953129641e-08,1.15837190625928e-07,0.082
"1101","CAF","LTU",1.16190401089427e-09,3.48571203268282e-09,0.337
"1102","CAF","LUX",3.23292575056514e-09,6.46585150113029e-09,0.099
"1103","CAF","MLI",7.33013087829119e-09,1.46810565496326e-08,0.087
"1104","CAF","MRT",2.44948600586156e-09,6.48209532870678e-09,0.089
"1105","CAF","MUS",4.93502482919172e-08,9.87004965838344e-08,0.103
"1106","CAF","MDA",7.74602673929515e-10,2.32380802178854e-09,0.332
"1107","CAF","MNE",3.47438226739275e-10,1.04231468021782e-09,0.321
"1108","CAF","NPL",8.1944102554521e-10,1.63888205109042e-09,0.112
"1109","CAF","NER",1.40494325913353e-06,4.19740121723718e-06,0.094
"1110","CAF","POL",1.38106689545525e-07,2.76213379091049e-07,0.087
"1111","CAF","QAT",1.01451962207868e-07,3.04355886623605e-07,0.356
"1112","CAF","ROU",1.7719349563703e-08,5.31580486911091e-08,0.346
"1113","CAF","RUS",1.86229518294613e-08,4.03118266994878e-08,0.086
"1114","CAF","KNA",6.58412272840088e-09,1.97523681852026e-08,0.338
"1115","CAF","VCT",3.87301336964757e-10,1.16190401089427e-09,0.35
"1116","CAF","SYC",1.66539574894846e-08,4.99618724684537e-08,0.335
"1117","CAF","SVK",5.5590116278284e-09,1.66770348834852e-08,0.358
"1118","CAF","SVN",9.67915039797937e-08,2.22984079307513e-07,0.11
"1119","CAF","LKA",2.41348472501993e-09,4.82696945003987e-09,0.079
"1120","CAF","SDN",6.04642810960267e-07,1.43630962934016e-06,0.088
"1121","CAF","TZA",3.47438226739275e-10,1.04231468021782e-09,0.326
"1122","CAF","UKR",7.60911147076578e-09,2.07427050518617e-08,0.098
"1123","CAF","URY",1.08444374350132e-08,2.22310967417766e-08,0.331
"1124","CAF","UZB",1.54920534785903e-09,4.64761604357709e-09,0.346
"1125","CAF","YEM",1.04231468021782e-09,3.12694404065347e-09,0.367
"1126","CAF","ZMB",2.32380802178854e-09,6.97142406536563e-09,0.345
"1127","CHL","AFG",4.57086368036053e-08,1.37125910410816e-07,0.326
"1128","CHL","TCD",7.37626495879329e-07,2.20474615956173e-06,0.081
"1129","CHL","CHN",0.0536917302158071,0.0587052993440317,0.869
"1130","CHL","ERI",1.08444374350132e-08,3.25333123050396e-08,0.349
"1131","CHL","GIB",2.38479844192723e-09,7.1543953257817e-09,0.33
"1132","CHL","GNB",4.57015577618414e-08,1.37104673285524e-07,0.321
"1133","CHL","KIR",4.77349942467615e-08,1.25485633176581e-07,0.093
"1134","CHL","PRK",2.74348184811334e-08,8.23044554434001e-08,0.341
"1135","CHL","MDG",3.06607522544354e-08,6.1774809832228e-08,0.094
"1136","CHL","MHL",2.59283813148271e-09,7.77851439444814e-09,0.329
"1137","CHL","SRB",3.99037171007114e-08,1.01120687127826e-07,0.085
"1138","CHL","TJK",6.95566212228776e-08,2.08669863668633e-07,0.321
"1139","CHL","TUV",1.04377710312002e-06,3.13133130936006e-06,0.338
"1140","CHL","VUT",3.63455666985318e-08,7.27798529776683e-08,0.095
"1141","CHL","YEM",1.17843741327552e-08,3.53531223982657e-08,0.313
"1142","CHL","ZWE",3.75423831847088e-09,1.12627149554126e-08,0.319
"1143","CHN","AUS",0.106715869321326,0.11295086310116,0.986
"1144","CHN","BEL",0.0420812514717405,0.0460377600087856,0.052
"1145","CHN","BRA",0.074910051200833,0.0829457015048064,0.996
"1146","CHN","CAN",0.0813617673555729,0.0875937548224646,0.984
"1147","CHN","CHL",0.0357327350435292,0.0394199364227481,0.108
"1148","CHN","HKG",0.64967667608571,0.681351025058256,1
"1149","CHN","TWN",0.118082940235491,0.128624358343259,0.985
"1150","CHN","FRA",0.0728501864204512,0.0784786206218727,0.978
"1151","CHN","DEU",0.179750993990898,0.18999842955439,0.997
"1152","CHN","IND",0.160773516354986,0.168307339403431,1
"1153","CHN","IDN",0.0931252414994936,0.100508242750303,1
"1154","CHN","ITA",0.0723097495812593,0.0752693616701804,1
"1155","CHN","JPN",0.317529677581264,0.328843695698033,1
"1156","CHN","KOR",0.246677310899005,0.254992779895468,1
"1157","CHN","MYS",0.112590848419352,0.123893929264464,0.999
"1158","CHN","MEX",0.09764914714172,0.10648731685954,0.998
"1159","CHN","NLD",0.164313542648815,0.172582698709405,0.991
"1160","CHN","PHL",0.0856714729036833,0.0933324600694545,0.981
"1161","CHN","POL",0.0506224969676682,0.0568690247444975,0.566
"1162","CHN","RUS",0.107312419424922,0.113255572722082,0.999
"1163","CHN","SAU",0.0498718569258248,0.0557580375220915,0.47
"1164","CHN","SGP",0.112888926303762,0.121886930135526,0.996
"1165","CHN","SXM",4.59487054862691e-06,1.37846116458807e-05,0.335
"1166","CHN","ESP",0.0580575250308822,0.0610968318088401,0.993
"1167","CHN","THA",0.102680331370814,0.110316891985166,0.999
"1168","CHN","ARE",0.0723394736600814,0.0764725152165907,0.993
"1169","CHN","GBR",0.142502304312665,0.151443979645277,0.996
"1170","CHN","USA",1,NA,NA
"1171","CHN","VNM",0.203966967871659,0.229478750574876,0.989
"1172","HKG","CHN",0.69381113989194,0.711121615334622,1
"1173","HKG","USA",0.092326661771441,0.0998471363338323,0.999
"1174","MAC","DZA",8.54811186359524e-08,2.56443355907857e-07,0.342
"1175","MAC","ATG",2.97961853490859e-09,5.95923706981718e-09,0.085
"1176","MAC","AZE",9.45836817567198e-10,1.8916736351344e-09,0.073
"1177","MAC","BGD",2.01396695221674e-08,6.04190085665022e-08,0.32
"1178","MAC","BEN",1.17719282697798e-08,2.35438565395596e-08,0.08
"1179","MAC","BWA",4.32139688580452e-10,1.29641906574136e-09,0.312
"1180","MAC","CPV",7.94932813975744e-10,2.38479844192723e-09,0.319
"1181","MAC","CMR",6.31269240502443e-09,1.68534478546376e-08,0.095
"1182","MAC","COD",5.21852216562391e-07,1.56555664968717e-06,0.335
"1183","MAC","SWZ",3.68261691648601e-10,1.1047850749458e-09,0.357
"1184","MAC","GMB",7.63982126807782e-09,1.8149866920379e-08,0.096
"1185","MAC","GRL",4.32139688580452e-10,1.29641906574136e-09,0.325
"1186","MAC","GIN",3.47438226739275e-10,6.9487645347855e-10,0.331
"1187","MAC","GNB",3.68261691648601e-10,1.1047850749458e-09,0.317
"1188","MAC","GUY",6.99697214132341e-09,2.09909164239702e-08,0.316
"1189","MAC","HND",2.06048496247443e-08,4.75057582226695e-08,0.084
"1190","MAC","IRN",3.45711750864362e-09,1.03713525259309e-08,0.321
"1191","MAC","JOR",4.10539417182643e-08,1.23161825154793e-07,0.345
"1192","MAC","KEN",9.48078433703039e-09,2.62327828611996e-08,0.085
"1193","MAC","KGZ",2.88787562959299e-10,8.66362688877896e-10,0.323
"1194","MAC","LAO",3.87301336964757e-10,1.16190401089427e-09,0.323
"1195","MAC","MWI",4.32139688580452e-10,1.29641906574136e-09,0.329
"1196","MAC","MDV",3.75423831847088e-09,1.12627149554126e-08,0.345
"1197","MAC","MLI",3.88516515243143e-08,1.14470325212507e-07,0.092
"1198","MAC","MRT",3.02497782006316e-09,9.07493346018949e-09,0.354
"1199","MAC","NAM",5.66994895142537e-09,1.13398979028507e-08,0.104
"1200","MAC","NPL",4.32139688580452e-10,1.29641906574136e-09,0.347
"1201","MAC","NCL",3.87301336964757e-10,1.16190401089427e-09,0.376
"1202","MAC","NIC",1.84824040293951e-08,5.54472120881853e-08,0.335
"1203","MAC","MNP",1.73719113369637e-09,5.21157340108912e-09,0.327
"1204","MAC","OMN",1.0075708575439e-08,3.02271257263169e-08,0.323
"1205","MAC","PLW",6.22362258886135e-08,1.86708677665841e-07,0.322
"1206","MAC","PAN",1.01860251621731e-07,3.05580754865194e-07,0.337
"1207","MAC","KNA",1.51248891003158e-08,4.53746673009475e-08,0.341
"1208","MAC","LCA",3.47438226739275e-10,1.04231468021782e-09,0.336
"1209","MAC","STP",1.868092112843e-08,5.604276338529e-08,0.346
"1210","MAC","SDN",0.000199669274524794,0.000599007823574382,0.321
"1211","MAC","TLS",2.29309229647921e-08,6.87927688943764e-08,0.347
"1212","MAC","TGO",1.73082995074842e-08,5.19248985224527e-08,0.316
"1213","MAC","UKR",1.55598686763196e-08,3.11197373526392e-08,0.1
"1214","MAC","UZB",1.61609841081269e-06,4.84829523243806e-06,0.329
"1215","MAC","YEM",1.11290593956604e-08,3.33871781869813e-08,0.312
"1216","TWN","BES",5.38623334244389e-09,1.07724666848878e-08,0.087
"1217","TWN","CHN",0.210915296371602,0.218891936078496,0.998
"1218","TWN","HKG",0.0994438258492904,0.104797164531491,0.999
"1219","TWN","JPN",0.0509376684066973,0.0527687863865449,0.816
