"","From","To","Mean","UCI","p.value"
"87","DZA","ETH",5.89951663137186e-06,1.76516457335058e-05,0.089
"88","DZA","GRD",3.87301336964757e-10,1.16190401089427e-09,0.324
"89","DZA","GNB",7.7131286336119e-08,2.31393859008357e-07,0.34
"90","DZA","GUY",2.57899731288663e-08,5.15799462577325e-08,0.08
"91","DZA","IRN",1.29641906574136e-09,3.88925719722407e-09,0.333
"92","DZA","KAZ",2.28507788809207e-08,6.85523366427621e-08,0.326
"93","DZA","KEN",1.72457995510897e-06,3.70748990197343e-06,0.07
"94","DZA","KOR",0.000446890067277548,0.00103662752043965,0.076
"95","DZA","LTU",4.12415604294789e-08,8.24831208589578e-08,0.09
"96","DZA","MDG",1.50934223763355e-09,3.48571203268282e-09,0.093
"97","DZA","MWI",3.87301336964757e-10,1.16190401089427e-09,0.344
"98","DZA","MOZ",3.47438226739275e-10,1.04231468021782e-09,0.319
"99","DZA","NCL",4.51669694761057e-09,9.03339389522115e-09,0.323
"100","DZA","PAN",5.02687762229993e-06,1.5044333133059e-05,0.084
"101","DZA","PER",1.69202416422027e-06,3.38404832844054e-06,0.363
"102","DZA","PHL",5.84841012600591e-05,0.00012456571450398,0.101
"103","DZA","KNA",9.54164432385638e-07,2.86249329715691e-06,0.338
"104","DZA","STP",1.78158615003788e-08,5.34475845011365e-08,0.344
"105","DZA","SYC",2.16069844290226e-09,6.48209532870678e-09,0.332
"106","DZA","SOM",2.32951469077563e-08,5.28441818968195e-08,0.091
"107","DZA","SSD",8.58575133271642e-06,2.57572539981493e-05,0.36
"108","DZA","LKA",2.97806133601859e-07,8.83047048279647e-07,0.099
"109","DZA","SDN",6.99888259717991e-06,2.09956054768595e-05,0.315
"110","DZA","TTO",1.72855875432181e-09,5.18567626296543e-09,0.341
"111","DZA","UZB",1.23936427828722e-08,3.71809283486167e-08,0.322
"112","DZA","YEM",2.55234506103719e-07,5.10469012207437e-07,0.084
"113","ASM","ATG",3.87301336964757e-10,7.74602673929515e-10,0.344
